"Test";"Stat";"Obs";"Std.Obs";"Alter";"Pvalue";"Pvalue.adj";" "
"artificial / ITD";"r";" 7.461093e-03";" 0.13805208";"two-sided";"0.8880";"1.0000";" "
"sol_nu_tot / ITD";"r";"-4.550508e-06";"-0.01507755";"two-sided";"0.9866";"1.0000";" "
"agricol_to / ITD";"r";"-2.739423e-02";"-0.53379570";"two-sided";"0.6082";"1.0000";" "
"espace_ouv / ITD";"r";" 1.148465e-01";" 2.28002094";"two-sided";"0.0288";"0.6912";" "
"artificial / STI";"r";" 3.028674e-02";" 0.89400816";"two-sided";"0.3818";"1.0000";" "
"sol_nu_tot / STI";"r";"-5.400954e-02";"-1.53337568";"two-sided";"0.1236";"1.0000";" "
"agricol_to / STI";"r";"-3.043210e-02";"-0.84984975";"two-sided";"0.4106";"1.0000";" "
"espace_ouv / STI";"r";" 4.172568e-02";" 0.79146065";"two-sided";"0.4936";"1.0000";" "
"artificial / SCI";"r";"-3.255334e-02";"-0.67867089";"two-sided";"0.4956";"1.0000";" "
"sol_nu_tot / SCI";"r";" 3.888389e-02";" 0.85984361";"two-sided";"0.3640";"1.0000";" "
"agricol_to / SCI";"r";"-4.001277e-03";"-0.08523654";"two-sided";"0.9320";"1.0000";" "
"espace_ouv / SCI";"r";"-5.587597e-03";"-0.09731081";"two-sided";"0.9318";"1.0000";" "
"artificial / nesting";"F";" 3.849708e+00";"-0.65078998";"greater";"0.7200";"1.0000";" "
"sol_nu_tot / nesting";"F";" 1.610077e+01";" 0.24845426";"greater";"0.2330";"1.0000";" "
"agricol_to / nesting";"F";" 9.983056e-01";"-0.97136485";"greater";"0.9308";"1.0000";" "
"espace_ouv / nesting";"F";" 1.854755e+01";" 0.37188484";"greater";"0.3008";"1.0000";" "
"artificial / lectisme";"F";" 5.396972e-03";"-0.72526564";"greater";"0.9808";"1.0000";" "
"sol_nu_tot / lectisme";"F";" 3.433885e+00";"-0.45754846";"greater";"0.5578";"1.0000";" "
"agricol_to / lectisme";"F";" 1.504096e+01";" 0.44242573";"greater";"0.2104";"1.0000";" "
"espace_ouv / lectisme";"F";" 3.369157e+00";"-0.69687866";"greater";"0.7006";"1.0000";" "
"artificial / sociality";"F";" 5.573463e+00";"-0.17769898";"greater";"0.4134";"1.0000";" "
"sol_nu_tot / sociality";"F";" 7.068551e-01";"-1.21376750";"greater";"0.9478";"1.0000";" "
"agricol_to / sociality";"F";" 5.875916e+00";"-0.15413826";"greater";"0.4144";"1.0000";" "
"espace_ouv / sociality";"F";" 9.152285e+00";"-0.25070911";"greater";"0.4902";"1.0000";" "
