Espèce;Famille;Statut IUCN
Andrena angustior;ANDRENIDAE;Near Threatened
Andrena bicolor;ANDRENIDAE;Least Concern
Andrena carantonica;ANDRENIDAE;Least Concern
Andrena dorsata;ANDRENIDAE;Least Concern
Andrena flavipes;ANDRENIDAE;Least Concern
Andrena fulvago;ANDRENIDAE;Near Threatened
Andrena haemorrhoa;ANDRENIDAE;Least Concern
Andrena humilis;ANDRENIDAE;Least Concern
Andrena labialis;ANDRENIDAE;Near Threatened
Andrena minutula;ANDRENIDAE;Least Concern
Andrena minutuloides;ANDRENIDAE;Data Deficient
Andrena rosae;ANDRENIDAE;Least Concern
Andrena wilkella;ANDRENIDAE;Near Threatened
Anthidiellum strigatum;MEGACHILIDAE;Least Concern
Anthidium manicatum;MEGACHILIDAE;Least Concern
Anthidium punctatum;MEGACHILIDAE;Least Concern
Anthophora bimaculata;APIDAE;Critically Endangered
Bombus campestris;APIDAE;Vulnerable
Bombus hortorum;APIDAE;Near Threatened
Bombus hypnorum;APIDAE;Least Concern
Bombus lapidarius;APIDAE;Least Concern
Bombus pascuorum;APIDAE;Least Concern
Bombus pratorum;APIDAE;Least Concern
Bombus sylvestris;APIDAE;Least Concern
Bombus vestalis;APIDAE;Near Threatened
Ceratina cyanea;APIDAE;Least Concern
Chelostoma florisomne;MEGACHILIDAE;Least Concern
Coelioxys inermis;MEGACHILIDAE;Least Concern
Coelioxys mandibularis;MEGACHILIDAE;Vulnerable
Colletes daviesanus;COLLETIDAE;Least Concern
Colletes hederae;COLLETIDAE;Least Concern
Colletes similis;COLLETIDAE;Least Concern
Dasypoda hirtipes;MELITTIDAE;Least Concern
Halictus quadricinctus;HALICTIDAE;Critically Endangered
Halictus rubicundus;HALICTIDAE;Least Concern
Halictus scabiosae;HALICTIDAE;Least Concern
Halictus sexcinctus;HALICTIDAE;Vulnerable
Heriades truncorum;MEGACHILIDAE;Least Concern
Hoplitis adunca;MEGACHILIDAE;Least Concern
Hoplitis leucomelana;MEGACHILIDAE;Least Concern
Hylaeus communis;COLLETIDAE;Least Concern
Hylaeus confusus;COLLETIDAE;Least Concern
Hylaeus dilatatus;COLLETIDAE;Data Deficient
Hylaeus gredleri;COLLETIDAE;Data Deficient
Hylaeus hyalinatus;COLLETIDAE;Least Concern
Hylaeus incongruus;COLLETIDAE;Data Deficient
Hylaeus signatus;COLLETIDAE;Least Concern
Lasioglossum calceatum;HALICTIDAE;Least Concern
Lasioglossum laticeps;HALICTIDAE;Least Concern
Lasioglossum lativentre;HALICTIDAE;Least Concern
Lasioglossum leucozonium;HALICTIDAE;Least Concern
Lasioglossum malachurum;HALICTIDAE;Least Concern
Lasioglossum minutissimum;HALICTIDAE;Least Concern
Lasioglossum morio;HALICTIDAE;Least Concern
Lasioglossum nitidulum;HALICTIDAE;Least Concern
Lasioglossum parvulum;HALICTIDAE;Least Concern
Lasioglossum pauxillum;HALICTIDAE;Least Concern
Lasioglossum punctatissimum;HALICTIDAE;Least Concern
Lasioglossum semilucens;HALICTIDAE;Least Concern
Lasioglossum villosulum;HALICTIDAE;Least Concern
Lasioglossum zonulum;HALICTIDAE;Least Concern
Macropis fulvipes;MELITTIDAE;Least Concern
Megachile centuncularis;MEGACHILIDAE;Least Concern
Megachile ericetorum ;MEGACHILIDAE;Least Concern
Megachile genalis;MEGACHILIDAE;Critically Endangered
Megachile ligniseca;MEGACHILIDAE;Least Concern
Megachile rotundata;MEGACHILIDAE;Least Concern
Megachile versicolor;MEGACHILIDAE;Least Concern
Megachile willughbiella;MEGACHILIDAE;Least Concern
Melitta leporina;MELITTIDAE;Least Concern
Melitta nigricans;MELITTIDAE;Least Concern
Nomada flavoguttata;APIDAE;Least Concern
Nomada fucata;APIDAE;Least Concern
Nomada zonata;APIDAE;Least Concern
Osmia bicornis;MEGACHILIDAE;Least Concern
Osmia caerulescens;MEGACHILIDAE;Least Concern
Osmia leaiana;MEGACHILIDAE;Least Concern
Osmia niveata;MEGACHILIDAE;Least Concern
Panurgus calcaratus;ANDRENIDAE;Least Concern
Seladonia tumulorum;HALICTIDAE;Least Concern
Sphecodes albilabris;HALICTIDAE;Least Concern
Sphecodes monilicornis;HALICTIDAE;Least Concern
Sphecodes niger;HALICTIDAE;Vulnerable
Stelis phaeoptera;MEGACHILIDAE;Near Threatened
Terrestribombus sp.;APIDAE;Least Concern
Terrestribombus sp.;APIDAE;Near Threatened
